player,rounds_played,vlr_rating,acs,kd,kast,adr,kpr,apr,dpr,fkpr,fdpr,hs_percent,cl_percent,year
nataNkLEV,564,1.07,229.6,1.07,0.7,150.4,0.79,0.24,0.73,0.15,0.14,0.26,0.39,2024
bangSEN,1176,1.07,203.9,1.09,0.75,129.9,0.71,0.31,0.65,0.1,0.1,0.33,0.12,2024
DerkeVIT,1591,1.07,236.5,1.16,0.71,155.5,0.83,0.19,0.72,0.17,0.16,0.25,0.22,2024
cNedFUT,1325,1.07,227.1,1.09,0.72,151.6,0.8,0.17,0.73,0.16,0.15,0.26,0.07,2024
sheydosMKOI,740,1.07,181.3,1.13,0.75,122.3,0.67,0.17,0.6,0.05,0.05,0.26,0.15,2024
RossyLEV,933,1.07,205.7,1.06,0.75,132.5,0.71,0.35,0.67,0.07,0.07,0.26,0.18,2024
heatFUR,1068,1.07,196.7,1.07,0.74,129.3,0.73,0.36,0.69,0.07,0.09,0.33,0.14,2024
HYUNMINDRX,511,1.07,236.0,1.1,0.73,156.3,0.83,0.17,0.76,0.21,0.13,0.3,0.06,2025
iZuT1,1000,1.07,195.4,1.13,0.74,128.3,0.71,0.22,0.63,0.09,0.09,0.29,0.21,2025
keznitKRÜ,300,1.07,225.5,1.15,0.74,142.7,0.79,0.18,0.68,0.18,0.15,0.22,0.23,2025
MunchkinGEN,357,1.07,208.6,1.07,0.75,137.7,0.7,0.36,0.66,0.11,0.09,0.25,0.07,2025
valynG2,624,1.07,189.4,1.07,0.75,123.3,0.68,0.42,0.64,0.08,0.07,0.23,0.21,2025
t3xtureGEN,542,1.07,218.8,1.11,0.72,139.7,0.79,0.15,0.71,0.14,0.11,0.28,0.15,2023
xenomMIBR,414,1.07,187.7,1.09,0.76,121.3,0.69,0.41,0.63,0.06,0.07,0.3,0.18,2025
BuZzT1,1000,1.07,237.5,1.1,0.71,152.6,0.81,0.22,0.74,0.19,0.15,0.19,0.2,2025
BuZzT1,1485,1.07,227.2,1.1,0.72,145.5,0.78,0.23,0.71,0.15,0.15,0.22,0.17,2023
