player+team,rounds_played,vlr_rating,acs,kd,kast,adr,kpr,apr,dpr,fkpr,fdpr,hs_percent,cl_percent,year
YESicaNFCY,1182,1.25,215.9,1.3,0.82,137.0,0.75,0.54,0.58,0.1,0.06,0.27,0.2,2023
terrorSG,664,1.25,241.4,1.25,0.76,157.2,0.85,0.38,0.68,0.1,0.07,0.33,0.25,2025
MuffynALG.GC,439,1.25,264.1,1.35,0.75,168.8,0.91,0.25,0.67,0.2,0.13,0.23,0.26,2025
sutecasODK,299,1.25,248.2,1.34,0.78,160.0,0.88,0.46,0.66,0.1,0.09,0.29,0.12,2023
Yun,238,1.25,263.5,1.3,0.76,161.8,0.92,0.31,0.71,0.16,0.12,0.23,0.13,2023
MapleCCG,342,1.25,268.0,1.25,0.73,182.7,0.92,0.21,0.74,0.26,0.19,0.22,0.14,2023
LeoFNC,1357,1.25,206.3,1.37,0.82,133.1,0.74,0.41,0.54,0.04,0.03,0.21,0.2,2023
koraKB,779,1.25,269.1,1.32,0.76,175.0,0.98,0.14,0.74,0.17,0.12,0.43,0.13,2025
azysRNTX,909,1.25,259.5,1.37,0.74,167.7,0.91,0.28,0.67,0.15,0.09,0.28,0.22,2023
JemkinRRQ,1898,1.25,264.2,1.33,0.74,170.7,0.95,0.18,0.71,0.2,0.14,0.3,0.17,2023
BizerraTL,308,1.25,217.7,1.41,0.78,152.4,0.8,0.23,0.57,0.06,0.03,0.24,0.19,2025
tok1oUW.GC,292,1.25,238.5,1.33,0.76,158.3,0.83,0.3,0.63,0.12,0.1,0.25,0.34,2025
starFKS.S,430,1.25,252.2,1.36,0.71,164.3,0.91,0.23,0.67,0.18,0.14,0.34,0.27,2025
kataloverKaye,209,1.25,257.7,1.28,0.77,161.4,0.92,0.4,0.72,0.06,0.04,0.22,0.14,2025
Milky,216,1.25,251.7,1.24,0.73,172.5,0.91,0.21,0.73,0.15,0.11,0.27,0.14,2025
RargaXLG,575,1.25,247.9,1.19,0.76,171.0,0.87,0.15,0.73,0.26,0.17,0.33,0.0,2025
monAlloy.Fe,241,1.24,250.6,1.41,0.8,154.9,0.85,0.19,0.61,0.23,0.12,0.25,0.18,2023
miggieKB,588,1.24,257.6,1.36,0.73,168.8,0.92,0.18,0.68,0.13,0.09,0.27,0.18,2023
CaliZ4FE,212,1.24,265.4,1.33,0.74,168.0,0.93,0.11,0.7,0.21,0.12,0.36,0.28,2024
coalZEgre,265,1.24,251.1,1.43,0.72,161.0,0.9,0.13,0.63,0.08,0.06,0.2,0.18,2024
HAYAIAI,279,1.24,269.4,1.32,0.78,172.7,0.94,0.26,0.72,0.15,0.15,0.18,0.13,2024
iooooooLCE,338,1.24,259.6,1.22,0.69,174.6,0.93,0.18,0.76,0.16,0.12,0.33,0.12,2024
taraaaaaaaaaaaaaMDK,266,1.24,274.0,1.36,0.73,170.9,0.93,0.22,0.69,0.25,0.12,0.25,0.11,2025
luyee,239,1.24,232.9,1.31,0.79,141.8,0.85,0.44,0.64,0.08,0.07,0.22,0.23,2023
oluluTHE.K,229,1.24,212.1,1.26,0.78,143.3,0.75,0.55,0.59,0.07,0.03,0.27,0.26,2025
JoliinaaSK.N,773,1.24,258.1,1.4,0.76,166.2,0.92,0.18,0.66,0.2,0.13,0.28,0.1,2025
ryotaNOVO.NI,468,1.24,218.3,1.39,0.77,126.8,0.77,0.35,0.56,0.09,0.07,0.24,0.28,2025
AlexyFLCV,371,1.24,231.5,1.42,0.84,154.4,0.84,0.35,0.59,0.08,0.05,0.31,0.26,2025
alvarxzQOR,295,1.24,256.7,1.41,0.77,157.0,0.91,0.24,0.65,0.25,0.12,0.24,0.25,2023
novacaineSix,410,1.24,257.4,1.36,0.73,168.5,0.91,0.18,0.67,0.15,0.12,0.23,0.17,2023
kauaZETA.AC,277,1.24,228.8,1.17,0.76,146.5,0.79,0.43,0.68,0.08,0.06,0.27,0.23,2023
BBiyongKST,300,1.24,238.3,1.38,0.77,155.2,0.85,0.44,0.62,0.12,0.11,0.25,0.38,2023
KaronGEN,358,1.24,273.3,1.32,0.73,170.2,0.93,0.2,0.7,0.15,0.13,0.25,0.25,2023
KatashioCVU.NBG,347,1.24,221.9,1.27,0.77,139.2,0.75,0.44,0.59,0.08,0.08,0.27,0.3,2023
nAvarroGekk,337,1.24,214.6,1.29,0.78,144.1,0.77,0.43,0.6,0.05,0.04,0.23,0.15,2023
furbsaNW,545,1.24,259.6,1.44,0.78,166.5,0.93,0.19,0.65,0.18,0.13,0.23,0.09,2023
LeeVYG,271,1.24,246.9,1.27,0.76,157.8,0.89,0.3,0.7,0.08,0.1,0.28,0.14,2023
sickreyTWIS,1413,1.24,220.9,1.3,0.8,147.4,0.78,0.4,0.6,0.06,0.04,0.24,0.11,2023
LOBSZ,978,1.24,221.1,1.3,0.78,149.4,0.81,0.33,0.62,0.05,0.04,0.31,0.16,2024
IzzyEF,1259,1.24,263.4,1.38,0.74,168.8,0.93,0.17,0.68,0.22,0.16,0.28,0.11,2024
ZoestolBLUE,264,1.24,221.6,1.39,0.77,136.5,0.83,0.39,0.59,0.12,0.06,0.22,0.13,2023
ZIANSOL.GC,308,1.24,244.6,1.36,0.76,164.6,0.85,0.3,0.62,0.13,0.12,0.28,0.15,2024
happySNG,206,1.24,241.4,1.33,0.79,156.9,0.83,0.37,0.62,0.08,0.08,0.21,0.23,2025
hayyelEXG.GC,255,1.24,224.8,1.37,0.78,144.0,0.84,0.45,0.61,0.09,0.08,0.21,0.28,2025
KonekoTOG,404,1.24,253.8,1.27,0.73,157.6,0.85,0.4,0.67,0.14,0.14,0.28,0.15,2025
